,o,h,l,c,v,prediction_close,batch_open,trade,ror,cr,mdd,ma5,ma10,ma20,ma50,ma100,rate,noise,noise_ma,up,down,au,ad,rsi,rsi_shift_1
2016-07-10,0.007208970358455505,0.006368048920757885,0.007328556558785794,0.007189489146401174,0.0018957034862526906,0.004334843251854181,0.007208970358455505,0,1,1.3067023979650316,6.1128168913656165,0.0073709043297006515,0.0075021046815864955,0.0073743991473535315,0.006647045231844422,0.00539679387951323,0.4,1.2579772780105658,-3.160555178789702,0,8.887635948187644e-05,0.00014594757291019745,0.00012693443328338076,53.48376572937702,48.13015517964489
2016-07-11,0.007223661948588634,0.006494816765221882,0.00736653070610733,0.007202397732836772,0.00249867099850508,0.005182347260415554,0.007223661948588634,0,1,1.3067023979650316,6.1128168913656165,0.007310594610204659,0.007476045659087734,0.007317836525340989,0.006708200830772321,0.005431290920345017,0.4,1.020282217651226,-3.160749903341844,1.290858643559871e-05,0,0.00012610777503873643,0.00012693443328338076,49.83665605629081,53.48376572937702
2016-07-12,0.0072318239431070405,0.006762308547118386,0.0074685011256081894,0.00756265115657967,0.003554002547670282,0.004849777091294527,0.0072318239431070405,0,1,1.3067023979650316,6.1128168913656165,0.0072352668207948025,0.007438604364233309,0.007305934853334152,0.006770706868793266,0.005465418445424972,0.4,1.0243935889948617,-3.1688006094549377,0.000360253423742898,0,0.00015184016244894344,0.00012395634396613684,55.055143526880066,49.83665605629081
2016-07-13,0.007442551801582209,0.00664557164447551,0.007596644961390427,0.007411309108714038,0.005447452047636187,0.00481221592053771,0.007442551801582209,0,1,1.3067023979650316,6.1128168913656165,0.00730836861169964,0.007380787763062937,0.00735097422308571,0.006836266976763098,0.0055017779050059576,1.0,1.468466450003729,-1.2349833656404294,0,0.0001513420478656321,0.00015184016244894344,0.00012315088208673984,55.21640266697501,55.055143526880066
2016-07-14,0.007275156714004751,0.006572302156390813,0.007528412529350536,0.0073969167767111285,0.002029994505914576,0.005739634856581688,0.007275156714004751,0,1,1.3067023979650316,6.1128168913656165,0.007276432953147628,0.007369613250567742,0.007372974508310319,0.006897683759515586,0.005536418893741071,0.4,1.0328499539869207,-1.337502621069127,0,1.4392332002909763e-05,0.00011749145256571409,0.0001241789058012334,48.61641012147522,55.21640266697501
2016-07-15,0.007394767033674459,0.006646153148349197,0.00765549732516763,0.007463091829013161,0.0027589743298755773,0.00573003152385354,0.007394767033674459,0,1,1.3067023979650316,6.1128168913656165,0.0073135922881914185,0.007342248308946034,0.00737263318853955,0.006960614221251489,0.005571677226061573,1.0,1.1273494670153785,-1.352995926438662,6.617505230203241e-05,0,0.00011145048847023733,0.0001241789058012334,47.299059955921386,48.61641012147522
2016-07-16,0.00745857899081835,0.0065975975748962445,0.007603906949722832,0.007418727836550588,0.0014021932781010387,0.0050365254282951355,0.00745857899081835,0,1,1.3067023979650316,6.1128168913656165,0.007360575696637362,0.007335585153421009,0.007376936785649253,0.007023693082887725,0.005607883833745216,1.0,1.0676923114010688,-1.3552436855776853,0,4.436399246257258e-05,8.444631914519321e-05,0.00012734776240570287,39.871897518014435,47.299059955921386
2016-07-17,0.007426673012246405,0.006852296271571614,0.007699977003703614,0.00765953974212502,0.002979463512233769,0.0059498632326722145,0.007426673012246405,0,1,1.3067023979650316,6.1128168913656165,0.007399545510465235,0.007317406165630018,0.007400895949558281,0.007080640060642134,0.00564386487358035,1.0,1.0396013208184476,1.1373947259251418,0.0002408119055744319,0,0.00010164716954336692,8.671433022665296e-05,53.96387779215664,39.871897518014435
2016-07-18,0.00768028844191828,0.006823511829824055,0.0077721430127568915,0.007588765078564329,0.0026219282165334296,0.005900206509977579,0.00768028844191828,0,1,1.3067023979650316,6.1128168913656165,0.007447092838532449,0.007377730725116044,0.007417257038570171,0.007127359317265483,0.005682714483488952,1.0,1.2747106419805045,1.081127106863647,0,7.077466356069165e-05,8.619501927809435e-05,9.176966333813093e-05,48.43377798951882,53.96387779215664
2016-07-19,0.007589912902614494,0.006730471210033965,0.007770327515673791,0.007594700060833568,0.0016121505689853952,0.005262963008135557,0.007589912902614494,0,1,1.3067023979650316,6.1128168913656165,0.007510044076254397,0.007393238514701013,0.007438864064058895,0.0071736155661997845,0.005720535682088235,1.0,1.0964794651846361,1.0722153550965101,5.934982269239011e-06,0,8.661894658304e-05,7.89034696330275e-05,52.33064412856956,48.43377798951882
2016-07-20,0.007609946889159667,0.006718695756591782,0.007679552661518723,0.007493211864029555,0.0029412555171656,0.005012574605643749,0.007609946889159667,0,1,1.3067023979650316,6.1128168913656165,0.007553080047351439,0.007433336167771429,0.007467720424678961,0.007217292624866272,0.0057582886167333635,1.0,1.0046036758075132,1.0683806765682502,0,0.0001014881968040126,7.826757867560884e-05,8.615262654759982e-05,47.60216578574189,52.33064412856956
2016-07-21,0.0074943433667989945,0.006603848741538391,0.007681065575754641,0.007452112111815065,0.002136539633112022,0.005389939062297344,0.0074943433667989945,0,1,1.3067023979650316,6.1128168913656165,0.007560232922547569,0.007460404309592465,0.0074682249843401,0.0072572537500283805,0.005794530840393086,0.8,1.1214906258750812,1.0540079350780203,0,4.109975221448965e-05,7.826757867560884e-05,4.87410418861375e-05,61.62383177570091,47.60216578574189
2016-07-22,0.007438545004273175,0.006592218664064629,0.007452615526131053,0.007284448862709024,0.004277999575784145,0.005812938325107098,0.007438545004273175,0,1,1.3067023979650316,6.1128168913656165,0.007562607320952921,0.007481076415709079,0.007459840389971194,0.007294739564852908,0.005829839628679705,0.4,1.0392040669364662,1.1373311174406047,0,0.00016766324910604154,4.900599645172857e-05,6.071698825085475e-05,44.663382594417136,61.62383177570091
2016-07-23,0.007210454357458852,0.006453675366158451,0.007467744668490232,0.007297060700031158,0.0010765612587122061,0.005660494323819876,0.007210454357458852,0,1,1.3067023979650316,6.1128168913656165,0.007468640504061036,0.007457866671296743,0.00741932721717984,0.007327351926950445,0.005863122758326754,0.2,1.179099048850627,1.5328778367887486,1.2611837322134417e-05,0,4.990684197473818e-05,4.857147096415902e-05,50.67800258286701,44.663382594417136
2016-07-24,0.007323831881314507,0.006573319788169769,0.007558368231221708,0.007381782571924566,0.0011950374471202934,0.004569030366837978,0.007323831881314507,0,1,1.3067023979650316,6.1128168913656165,0.007415424299801039,0.007462734188027719,0.007416173719297729,0.007352755021889726,0.005897420943292094,0.2,1.0854048115751591,1.581265911119712,8.472187189340757e-05,0,5.595840425283872e-05,4.222315957259642e-05,56.99481865284978,50.67800258286701
2016-07-25,0.007384972640252374,0.006529561621674742,0.007562755682505869,0.0073055180497648255,0.0020623057557897506,0.005501242820173502,0.007384972640252374,0,1,1.3067023979650316,6.1128168913656165,0.00737042945001958,0.007461754748685509,0.0074020015288157725,0.007378321356719375,0.005931604860334175,0.6,1.0588303343758125,1.5127832303480289,0,7.626452215974029e-05,5.5036362364581666e-05,4.76706254411493e-05,53.58580125890001,56.99481865284978
2016-07-26,0.007316115086497108,0.0064561467576216254,0.007452766817554645,0.0072736175200676595,0.002845690496899588,0.005507211200892925,0.007316115086497108,0,1,1.3067023979650316,6.1128168913656165,0.007334783793959203,0.007447508358253386,0.007391546755837197,0.0074024215005337205,0.005964968125927406,0.2,1.0769019526082417,1.5130324585388888,0,3.1900529697165975e-05,2.9303974954374666e-05,4.9949234705232584e-05,36.97512703931528,53.58580125890001
2016-07-27,0.007260019924170618,0.006500341052021919,0.0074724347026215755,0.007324213243912934,0.002220612964248687,0.00553548987954855,0.007260019924170618,0,1,1.3067023979650316,6.1128168913656165,0.007299078777938691,0.007430843049445806,0.007374124607537913,0.007422336767158626,0.005998220091595386,0.2,1.0426417204189378,1.472829683975571,5.059572384527415e-05,0,3.291795522903711e-05,3.9139088429116005e-05,45.68318870422115,36.97512703931528
2016-07-28,0.007318044285201457,0.006469957474621716,0.007564722471012562,0.007291719215988843,0.00159385607055317,0.0058410135097801685,0.007318044285201457,0,1,1.3067023979650316,6.1128168913656165,0.007320596763487212,0.007394618633774125,0.007386174679445084,0.0074453832716805946,0.006031905384972343,0.2,1.0660361917069343,1.461130505714956,0,3.249402792409109e-05,3.291795522903711e-05,4.043206670920038e-05,44.87790781678952,45.68318870422115
