,Open,High,Low,Close,Volume,Datetime,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,rate,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2019-12-20,7157.53,7218.11,7072.61,7194.11,3201.66392251,2019-12-20 00:00:00,7181.28359895337,7157.53,1,1.00511070159678,1.008952033921701,55.815365751664714,1,,1.002044280638712,1.900496862780503,19.16789817460412,0.4,1.00511070159678,1.7637469591863233,35.692270938286654,1,1.002044280638712,1.088098598002937,22.734819286755613,0.4,1.002044280638712,1.467635235158929,18.86182290390227,0.4,1.002044280638712,2.215173760276599,19.06728810318664,0.4,1.002044280638712,1.3014407477397352,11.116518425909906,0.4,1.002044280638712,1.7304311222718005,13.039638843469989,0.4
2019-12-21,7194.13,7194.13,7109.73,7147.4,1689.08199513,2019-12-21 00:00:00,7163.681929738032,7194.13,0,1,1.008952033921701,55.815365751664714,1,,1,1.900496862780503,19.16789817460412,0.4,1,1.7637469591863233,35.692270938286654,1,1,1.088098598002937,22.734819286755613,0.4,1,1.467635235158929,18.86182290390227,0.4,1,2.215173760276599,19.06728810318664,0.4,1,1.3014407477397352,11.116518425909906,0.4,1,1.7304311222718005,13.039638843469989,0.4
2019-12-22,7147.4,7530.0,7124.52,7509.7,3796.22608082,2019-12-22 00:00:00,7109.542372196497,7147.4,0,1,1.008952033921701,55.815365751664714,1,,1,1.900496862780503,19.16789817460412,0.4,1,1.7637469591863233,35.692270938286654,1,1,1.088098598002937,22.734819286755613,0.4,1,1.467635235158929,18.86182290390227,0.4,1,2.215173760276599,19.06728810318664,0.4,1,1.3014407477397352,11.116518425909906,0.4,1,1.7304311222718005,13.039638843469989,0.4
2019-12-23,7521.88,7692.98,7247.86,7316.17,6710.7673604,2019-12-23 00:00:00,7527.987031522296,7521.88,1,0.972651783862545,0.9813589956256856,57.02373667904258,1,,0.983591070317527,1.8693117433973772,20.494266449543538,0.6,0.972651783862545,1.7155116261347167,37.45097261197529,1,0.989060713545018,1.0761955757481185,23.580045231573745,0.4,0.9863258919312725,1.4475666323478935,19.971315106013858,0.5,0.983591070317527,2.178825129809761,20.3953072817133,0.6,0.989060713545018,1.2872039145960243,12.088840291964985,0.4,0.9863258919312725,1.7067690201003665,14.228744219619955,0.5
2019-12-24,7317.47,7431.1,7156.0,7251.52,4194.58980335,2019-12-24 00:00:00,7320.409520592641,7317.47,1,0.990987322120897,0.9725143231143513,57.411067896801896,1,,0.9945923932725382,1.8592032406380583,20.924202189162763,0.6,0.990987322120897,1.7000502724505084,38.01470684747474,1,0.9963949288483588,1.072315814124465,23.85554460591913,0.4,0.9954936610604486,1.4410434064649489,20.33195148503272,0.5,0.9945923932725382,2.167042900379839,20.825778153594232,0.6,0.9963949288483588,1.2825634528972345,12.405766277735749,0.4,0.9954936610604486,1.699077740404268,14.615258569437312,0.5
2019-12-25,7247.45,7266.81,7110.73,7195.79,1504.52751296,2019-12-25 00:00:00,7275.307513605761,7247.45,1,0.9928719756604047,0.9655822173485872,57.71464284143085,1,,0.9971487902641619,1.8539022622574495,21.149663873750182,0.4,0.9928719756604047,1.6879322727299457,38.45653952576289,1,0.9971487902641619,1.0692584168353403,24.072648418468816,0.4,0.9971487902641619,1.4369346894746708,20.559101800593808,0.4,0.9971487902641619,2.1608642065642973,21.051520465750105,0.4,0.9971487902641619,1.2789065954935037,12.655515809727952,0.4,0.9971487902641619,1.6942333134088816,14.858708375496152,0.4
2019-12-26,7195.8,7432.0,7150.0,7188.3,3116.74715162,2019-12-26 00:00:00,7108.378813212734,7195.8,0,1,0.9655822173485872,57.71464284143085,1,,1,1.8539022622574495,21.149663873750182,0.2,1,1.6879322727299457,38.45653952576289,1,1,1.0692584168353403,24.072648418468816,0.4,1,1.4369346894746708,20.559101800593808,0.3,1,2.1608642065642973,21.051520465750105,0.2,1,1.2789065954935037,12.655515809727952,0.4,1,1.6942333134088816,14.858708375496152,0.3
2019-12-27,7195.17,7255.37,7052.0,7246.0,4024.57086599,2019-12-27 00:00:00,7255.1238215735775,7195.17,1,1.0070644612983433,0.9724035355534147,57.41591957229751,1,,1.0014128922596686,1.856521626413975,21.038256844165144,0.2,1.0070644612983433,1.6998566049448711,38.02176813107651,1,1.0028257845193373,1.0722799107168048,23.858094083775434,0.4,1.002119338389503,1.4399800403252832,20.390739655343207,0.3,1.0014128922596686,2.163917274875947,20.939974770103557,0.2,1.0028257845193373,1.2825205099527277,12.408699118453574,0.4,1.002119338389503,1.697823967110764,14.678265167624465,0.3
2019-12-28,7247.7,7349.65,7231.0,7296.24,1579.70272647,2019-12-28 00:00:00,7220.453523187696,7247.7,0,1,0.9724035355534147,57.41591957229751,1,,1,1.856521626413975,21.038256844165144,0.4,1,1.6998566049448711,38.02176813107651,1,1,1.0722799107168048,23.858094083775434,0.4,1,1.4399800403252832,20.390739655343207,0.4,1,2.163917274875947,20.939974770103557,0.4,1,1.2825205099527277,12.408699118453574,0.4,1,1.697823967110764,14.678265167624465,0.4
2019-12-29,7297.43,7524.46,7274.43,7385.54,2583.85134193,2019-12-29 00:00:00,7280.663728490883,7297.43,0,1,0.9724035355534147,57.41591957229751,1,,1,1.856521626413975,21.038256844165144,0.6,1,1.6998566049448711,38.02176813107651,1,1,1.0722799107168048,23.858094083775434,0.4,1,1.4399800403252832,20.390739655343207,0.5,1,2.163917274875947,20.939974770103557,0.6,1,1.2825205099527277,12.408699118453574,0.4,1,1.697823967110764,14.678265167624465,0.5
