,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return of rate,cumulative return of rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-06-04,2540.94,2530.27,22259945.52,45.95316520216956,28.089229572974045,10.05105923279257,153.25090904725357,9.851932487249314,143.39897656000426,70.9378037579051,2698.0,2619.397029897501,2540.94,1,0.9958007666454146,1.3736960172705206,0.41992333545853666,2017-06-04,,0.9974804599872488,1.1573645338656235,0.25195400127512324,0.6,0.9958007666454146,1.1548698359567615,0.4199233354585324,1,1,1,0.0,0.0,0.9987402299936243,1.0764354714432365,0.12597700063755848,0.3,0.9974804599872488,1.070127395070083,0.25195400127512935,0.6,1,1,0.0,0.0,0.9987402299936243,1.0347326810653046,0.12597700063756886,0.3
2017-06-05,2530.27,2698.0,31915607.88,46.51562013281677,31.23481123589416,9.375414241146423,162.54993175613754,15.32076415690662,147.22916759923092,75.01261797064696,2880.74,2595.118754023176,2530.27,1,1.0662893683282813,1.4647574585304592,0.0,2017-06-05,,1.0397736209969688,1.2033971121909284,0.0,0.6,1.0662893683282813,1.2314254278837211,0.0,1,1,1,0.0,0.0,1.0198868104984844,1.0978423396776749,0.0,0.3,1.0397736209969688,1.112690236500074,0.0,0.6,1,1,0.0,0.0,1.0198868104984844,1.055310213810239,0.0,0.3
2017-06-06,2698.0,2880.74,75184117.96,47.674690138992865,37.18471689309819,8.512979297490048,177.9766199239557,24.597961859779815,153.37865806417588,78.54254095804964,2683.03,2753.4619625158102,2698.0,1,1.0677316530763528,1.5639679025526445,0.0,2017-06-06,,1.0406389918458117,1.2523019576205288,0.0,0.6,1.0677316530763528,1.3148319077545405,0.0,1,1,1,0.0,0.0,1.0203194959229058,1.1201499426227488,0.0,0.3,1.0406389918458117,1.1579088459481146,0.0,0.6,1,1,0.0,0.0,1.0203194959229058,1.076753585397157,0.0,0.3
2017-06-07,2880.74,2683.03,47189507.3,48.00638846601253,33.37391317734533,10.447348285808657,177.8338820105737,19.564179157118247,158.26970285345544,67.44177021005487,2806.0,2882.861381913397,2880.74,1,0.9313683289710284,1.4566301719647807,6.863167102897158,2017-06-07,,0.9588209973826171,1.2007334120299191,4.117900261738303,0.6,0.9313683289710284,1.2245927968031358,6.8631671028971555,1,1,1,0.0,0.0,0.9794104986913085,1.097086613913187,2.058950130869155,0.3,0.9588209973826171,1.1102273145501262,4.117900261738302,0.6,1,1,0.0,0.0,0.9794104986913085,1.054583766041484,2.0589501308691442,0.3
2017-06-08,2683.03,2806.0,36422409.92,48.31439299548542,30.920404679010865,9.679303565727963,182.38157757285762,19.289499775521733,163.0920777973359,70.25744018966328,2822.32,2756.3090105635265,2683.03,1,1.0458325102589237,1.5233911892648142,2.5944722536570377,2017-06-08,,1.0274995061553542,1.2337529878849753,1.4811898697976893,0.6,1.0458325102589237,1.2807189587256196,2.594472253657028,1,1,1,0.0,0.0,1.0137497530776771,1.112171283959318,0.7122848790001527,0.3,1.0274995061553542,1.14075801742044,1.481189869797679,0.6,1,1,0.0,0.0,1.0137497530776771,1.0690840324242812,0.7122848790001446,0.3
2017-06-09,2806.0,2822.32,22701149.15,48.76696090519862,31.909252604173535,9.357100875277146,184.93260334040815,17.472420434457803,167.46018290595035,70.62057668514865,2899.99,2864.9867237904864,2806.0,1,1.0058161083392732,1.5322513974646725,2.02795115144023,2017-06-09,,1.0034896650035638,1.23805837250984,1.1373922258935627,0.6,1.0058161083392732,1.2881677589417289,2.0279511514402224,1,1,1,0.0,0.0,1.001744832501782,1.1141118365631189,0.5390444466293659,0.3,1.0034896650035638,1.144738880751367,1.137392225893554,0.6,1,1,0.0,0.0,1.001744832501782,1.0709494049911912,0.5390444466293568,0.3
2017-06-10,2822.32,2899.99,27422781.42,49.32454600319604,32.24876490478366,8.94449753589335,189.13640678343745,17.34097910198966,171.7954276814478,72.35076175185473,2954.22,2948.8556911978694,2822.32,1,1.027519912695938,1.5744188221511293,0.0,2017-06-10,,1.0165119476175628,1.2585011275042075,0.0,0.6,1.027519912695938,1.3236180232055275,0.0,1,1,1,0.0,0.0,1.0082559738087813,1.1233099147058372,0.0,0.3,1.0165119476175628,1.163640749186121,0.0,0.6,1,1,0.0,0.0,1.0082559738087813,1.0797911352293283,0.0,0.3
2017-06-11,2899.99,2954.22,19889398.37,50.00565624671496,33.06639333071508,8.563228912690601,193.363051056323,17.25409869990014,176.10895235642286,73.52318912199233,2667.06,3000.880522635148,2899.99,1,1.018700064482981,1.6038605556485743,0.0,2017-06-11,,1.0112200386897885,1.272621558845947,0.0,0.6,1.018700064482981,1.3483697655903066,0.0,1,1.0112200386897885,1.0112200386897885,0.0,0.6,1.0112200386897885,1.1359134954094596,0.0,0.6,1.0112200386897885,1.1766968434130036,0.0,0.6,1.0112200386897885,1.0112200386897885,0.0,0.6,1.0112200386897885,1.091906433543492,0.0,0.6
2017-06-12,2954.22,2667.06,85786969.44,47.41267169868609,27.177939191967766,20.626589589057584,179.3553562119696,2.597123084437385,176.7582331275322,59.20653729461224,2703.02,3077.2344297145823,2954.22,1,0.9027966772955298,1.447959980484895,9.720332270447022,2017-06-12,,0.9416780063773179,1.198399732406846,5.832199362268206,0.6,0.9027966772955298,1.2173037441406813,9.720332270447013,1,0.9416780063773179,0.9522436700421943,5.832199362268206,0.6,0.9416780063773179,1.0696647557742707,5.832199362268203,0.6,0.9416780063773179,1.1080695376156402,5.832199362268216,0.6,0.9416780063773179,0.9522436700421943,5.832199362268206,0.6,0.9416780063773179,1.028224273489803,5.8321993622682,0.6
2017-06-13,2667.06,2703.02,43568709.95,45.004906052662285,25.745973768062495,19.53980508726047,168.19129705647765,-6.853548856843645,175.0448459133213,60.25036938843515,2450.0,2649.0976918453853,2667.06,0,1,1.447959980484895,9.720332270447022,2017-06-13,,1,1.198399732406846,5.832199362268206,0.2,1,1.2173037441406813,9.720332270447013,1,1,0.9522436700421943,5.832199362268206,0.6,1,1.0696647557742707,5.832199362268203,0.4,1,1.1080695376156402,5.832199362268216,0.2,1,0.9522436700421943,5.832199362268206,0.6,1,1.028224273489803,5.8321993622682,0.4
