,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2019-06-28,11153.73,12354.43,18718.10158772,39.388589336220576,34.88219507699708,13.58458136288205,739.9263123831606,182.4868170593196,557.439495323841,69.38981060158686,11858.62,11195.651993844243,11153.73,1,1.1076500865629706,2.1674079483546898,0.7326169220567877,2019-06-28,profit1,1.0861200692503765,1.7206436759117678,2.66213284244624,0.8,1.1076500865629706,2.1020013883663693,0.7326169220567826,1,1.0645900519377824,1.2623002074457685,0.0,0.6,1.0753550605940794,1.4859475568249287,0.3378815236040672,0.7,1.0861200692503765,1.8268153230085886,2.66213284244625,0.8,1.0645900519377824,1.2546112264692664,0.0,0.6,1.0753550605940794,1.5252540337062799,0.3378815236040575,0.7
2019-06-29,12354.45,11858.62,12265.99736052,39.71388347728542,31.966334831152345,12.449023790744274,743.7219679071204,149.02597806662345,594.695989840497,64.59174108293975,10760.1,12098.171863958938,12354.45,0,1,2.1674079483546898,0.7326169220567877,2019-06-29,profit1,1,1.7206436759117678,2.66213284244624,1.0,1,2.1020013883663693,0.7326169220567826,1,1,1.2623002074457685,0.0,0.6,1,1.4859475568249287,0.3378815236040672,0.8,1,1.8268153230085886,2.66213284244625,1.0,1,1.2546112264692664,0.0,0.6,1,1.5252540337062799,0.3378815236040575,0.8
2019-06-30,11867.35,10760.1,12642.61772277,38.86432224491205,28.280434350544883,15.969962376759128,680.2276029205495,68.42529046404206,611.8023124565075,55.444200784195694,10577.43,11869.761556459434,11867.35,1,0.906697788470046,1.9651839934855968,9.994483296020025,2019-06-30,profit1,0.9253582307760368,1.59221178773769,9.927603459573149,0.8,0.906697788470046,1.9058800101927533,9.994483296020016,1,0.9440186730820276,1.1916349668641226,5.598132691797238,0.6,0.9346884519290322,1.3888980215364202,6.846968765329693,0.7,0.9253582307760368,1.6904585952537818,9.92760345957316,0.8,0.9440186730820276,1.184376425245332,5.59813269179725,0.6,0.9346884519290322,1.4256373315634345,6.846968765329686,0.7
2019-07-01,10759.24,10577.43,22917.43710404,37.046104702082175,25.703539536566097,19.62527358505918,612.603268140103,0.6407645468763121,611.9625035932266,54.07284388607928,10828.9,10785.011175366624,10759.24,1,0.9831019663098881,1.9319762481564087,11.515399549579802,2019-07-01,profit1,0.9898611797859329,1.5760686386790992,10.840831294346698,0.6,0.9831019663098881,1.8736743855712055,11.515399549579795,1,0.9898611797859329,1.1795531941742914,6.555256252307331,0.6,0.9898611797859329,1.374816234200389,7.791430601413393,0.6,0.9898611797859329,1.6733193394771793,10.84083129434671,0.6,0.9898611797859329,1.1723682456039901,6.5552562523073306,0.6,0.9898611797859329,1.4111830509682506,7.79143060141338,0.6
2019-07-02,10581.78,10828.9,20285.24655295,34.91253982602094,23.276694369561564,20.15961918387783,565.5614303483326,-37.12085859591525,602.6822889442478,55.69737294406437,11967.43,10463.998896715057,10581.78,0,1,1.9319762481564087,11.515399549579802,2019-07-02,profit1,1,1.5760686386790992,10.840831294346698,0.6,1,1.8736743855712055,11.515399549579795,1,1,1.1795531941742914,6.555256252307331,0.6,1,1.374816234200389,7.791430601413393,0.6,1,1.6733193394771793,10.84083129434671,0.6,1,1.1723682456039901,6.5552562523073306,0.6,1,1.4111830509682506,7.79143060141338,0.6
2019-07-03,10830.1,11967.43,19389.85475767,33.980105198153886,28.833859763738737,18.489667775238157,582.742349758646,-15.951951348481543,598.6943011071276,62.214114711922505,11146.34,10681.614854214524,10830.1,0,1,1.9319762481564087,11.515399549579802,2019-07-03,profit1,1,1.5760686386790992,10.840831294346698,0.6,1,1.8736743855712055,11.515399549579795,1,1,1.1795531941742914,6.555256252307331,0.6,1,1.374816234200389,7.791430601413393,0.6,1,1.6733193394771793,10.84083129434671,0.6,1,1.1723682456039901,6.5552562523073306,0.6,1,1.4111830509682506,7.79143060141338,0.6
2019-07-04,11970.0,11146.34,11185.29420376,33.16028876533351,27.157283714105322,17.180170440857808,546.4338844377089,-41.80833333553494,588.2422177732439,55.83528857686379,10997.84,11788.872511960992,11970.0,0,1,1.9319762481564087,11.515399549579802,2019-07-04,profit1,1,1.5760686386790992,10.840831294346698,1.0,1,1.8736743855712055,11.515399549579795,1,1,1.1795531941742914,6.555256252307331,0.6,1,1.374816234200389,7.791430601413393,0.8,1,1.6733193394771793,10.84083129434671,1.0,1,1.1723682456039901,6.5552562523073306,0.6,1,1.4111830509682506,7.79143060141338,0.8
2019-07-05,11144.82,10997.84,11893.4379497,31.99521024781962,25.84573410217262,18.392029477211178,503.735306654482,-67.60552889500957,571.3408355494915,54.74210349909089,11240.0,11190.619948634878,11144.82,1,0.9868118103298215,1.906496978957442,12.682351243209911,2019-07-05,profit1,0.9894494482638572,1.559440244967003,11.781509716527184,0.8,0.9868118103298215,1.848964012394137,12.682351243209904,1,0.9920870861978929,1.17021949142379,7.2946764548428185,0.6,0.9907682672308751,1.3621242981195962,8.642675473124456,0.7,0.9894494482638572,1.655664897214937,11.781509716527186,0.8,0.9920870861978929,1.163091396732198,7.2946764548428185,0.6,0.9907682672308751,1.3981553861533933,8.642675473124442,0.7
2019-07-06,10996.82,11240.0,7892.17866812,31.205318297634626,26.58277781038838,17.37868759566085,477.2323306976723,-75.2868038814554,552.5191345791277,56.24648677992557,11469.96,10931.604288918104,10996.82,0,1,1.906496978957442,12.682351243209911,2019-07-06,profit1,1,1.559440244967003,11.781509716527184,0.6,1,1.848964012394137,12.682351243209904,1,1,1.17021949142379,7.2946764548428185,0.6,1,1.3621242981195962,8.642675473124456,0.6,1,1.655664897214937,11.781509716527186,0.6,1,1.163091396732198,7.2946764548428185,0.6,1,1.3981553861533933,8.642675473124442,0.6
2019-07-07,11233.21,11469.96,6683.05546715,30.471847201034276,25.490339266255408,16.664497817927153,463.274679674003,-71.39556392409975,534.6702435981027,57.68493335933006,12286.14,11122.320954609502,11233.21,0,1,1.906496978957442,12.682351243209911,2019-07-07,profit1,1,1.559440244967003,11.781509716527184,0.6,1,1.848964012394137,12.682351243209904,1,1,1.17021949142379,7.2946764548428185,0.6,1,1.3621242981195962,8.642675473124456,0.6,1,1.655664897214937,11.781509716527186,0.6,1,1.163091396732198,7.2946764548428185,0.6,1,1.3981553861533933,8.642675473124442,0.6
