,Open,High,Low,Close,Volume,Datetime,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,rate,up,down,au,ad,rsi,rsi_shift_1,noise,noise_ma,ma5,ma10,ma20,ma50,ma100,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-04-27,1287.99,1342.02,1285.0,1331.53,8807415.32,2017-04-27 00:00:00,1290.2309351639349,1287.99,1,1.0135218441136966,1.0284298530660791,0.0,0.4,43.539999999999964,0,13.052857142857144,1.7228571428571513,88.33994005607653,68.71359462928223,0.7078467516366465,,1257.152,1234.666,,,,,1.0135218441136966,1.0435169171576197,0.0,0.4,1.0338046102842413,1.072093978212385,0.0,1,1,1,0.0,0.0,1.0067609220568483,1.0215770674377584,0.0,0.2,1.0135218441136966,1.0284298530660791,0.0,0.4,1,1,0.0,0.0,1.0067609220568483,1.014147502461255,0.0,0.2
2017-04-28,1331.53,1347.02,1299.0,1330.7,10882526.4,2017-04-28 00:00:00,1337.7220462377077,1331.53,1,0.9997506627713983,1.0281734272167045,0.02493372286016383,0.4,0,0.8299999999999272,13.052857142857144,1.59857142857142,89.08931357254296,88.33994005607653,0.2364100749788699,,1276.818,1250.165,,,,,0.9997506627713983,1.0432567295414967,0.024933722860164067,0.4,0.9993766569284959,1.071425695859065,0.06233430715040918,1,1,1,0.0,0.0,0.9998753313856992,1.0214497088403596,0.01246686143007356,0.2,0.9997506627713983,1.0281734272167045,0.02493372286016383,0.4,1,1,0.0,0.0,0.9998753313856992,1.0140210700974264,0.012466861430092445,0.2
2017-04-29,1330.7,1342.8,1316.0,1333.0,5226089.45,2017-04-29 00:00:00,1330.9635312674097,1330.7,1,1.001037048170136,1.029239692587982,0.0,0.6,2.2999999999999545,0,12.994999999999989,1.59857142857142,89.0460574617004,89.08931357254296,0.9827155836785822,,1294.56,1262.977,1226.7255,,,,1.001037048170136,1.0443386370238499,0.0,0.6,1.0017284136168934,1.0732775626212774,0.0,1,1,1,0.0,0.0,1.000518524085068,1.021979355116079,0.0,0.3,1.001037048170136,1.029239692587982,0.0,0.6,1,1,0.0,0.0,1.000518524085068,1.0145468644450384,0.0,0.3
2017-04-30,1333.0,1356.0,1315.68,1350.21,4718587.81,2017-04-30 00:00:00,1330.2672964668427,1333.0,0,1,1.029239692587982,0.0,0.6,17.210000000000036,0,14.224285714285704,0.8028571428571273,94.65728681433606,89.0460574617004,0.9141795344765732,,1310.444,1275.8790000000001,1233.0655,,,,1,1.0443386370238499,0.0,0.6,1,1.0732775626212774,0.0,1,1,1,0.0,0.0,1,1.021979355116079,0.0,0.3,1,1.029239692587982,0.0,0.6,1,1,0.0,0.0,1,1.0145468644450384,0.0,0.3
2017-05-01,1350.21,1425.0,1341.22,1390.86,11920971.92,2017-05-01 00:00:00,1356.6085421752148,1350.21,1,1.0180638567333968,1.0478317309392169,0.0,0.6,40.649999999999864,0,16.11142857142855,0.8028571428571273,95.25337837837846,94.65728681433606,0.5731661180226771,,1326.6860000000001,1287.481,1240.1135,,,,1.0180638567333968,1.0632034205441996,0.0,0.6,1.0301064278889949,1.105590116165211,0.0,1,1,1,0.0,0.0,1.0090319283666984,1.031209799443732,0.0,0.3,1.0180638567333968,1.0478317309392169,0.0,0.6,1,1,0.0,0.0,1.0090319283666984,1.0237101790493646,0.0,0.3
2017-05-02,1390.86,1481.73,1388.0,1447.75,12835457.62,2017-05-02 00:00:00,1393.192257039368,1390.86,1,1.0245416504896252,1.0735472510518662,0.0,0.6,56.8900000000001,0,18.31499999999999,0.8028571428571273,95.80048570894833,95.25337837837846,0.514801493683305,,1347.26,1302.206,1248.7069999999999,,,,1.0245416504896252,1.0892961872905693,0.0,0.6,1.040902750816042,1.1508117931913957,0.0,1,1,1,0.0,0.0,1.0122708252448125,1.043863594683444,0.0,0.3,1.0245416504896252,1.0735472510518662,0.0,0.6,1,1,0.0,0.0,1.0122708252448125,1.036271947757815,0.0,0.3
2017-05-03,1447.75,1516.04,1431.02,1503.22,16342395.53,2017-05-03 00:00:00,1460.1086799550058,1447.75,1,1.02298877568641,1.0982267879950596,0.0,0.6,55.47000000000003,0,22.177142857142844,0.8028571428571273,96.50627875170962,95.80048570894833,0.3930448088591859,,1370.5040000000001,1323.661,1260.486,,,,1.02298877568641,1.1143377729962538,0.0,0.6,1.0383146261440166,1.1949047168096494,0.0,1,1,1,0.0,0.0,1.011494387843205,1.0558621676961377,0.0,0.3,1.02298877568641,1.0982267879950596,0.0,0.6,1,1,0.0,0.0,1.011494387843205,1.048183259436377,0.0,0.3
2017-05-04,1503.22,1623.01,1444.94,1537.23,29012554.52,2017-05-04 00:00:00,1510.479570600071,1503.22,1,1.0135748593020315,1.1131350621238145,0.0,0.6,34.00999999999999,0,22.44857142857141,0.8028571428571273,96.54706316048176,96.50627875170962,0.3475664421493434,,1405.008,1349.7839999999999,1277.0014999999999,,,,1.0135748593020315,1.129464751479617,0.0,0.6,1.022624765503386,1.2219391558263575,0.0,1,1,1,0.0,0.0,1.0067874296510158,1.0630287578805442,0.0,0.3,1.0135748593020315,1.1131350621238145,0.0,0.6,1,1,0.0,0.0,1.0067874296510158,1.0552977295711736,0.0,0.3
2017-05-05,1537.23,1609.0,1495.0,1514.9,24254113.78,2017-05-05 00:00:00,1545.0290265659273,1537.23,1,0.9912843231006421,1.1034333365769966,0.871567689935796,0.6,0,22.329999999999927,21.77571428571428,2.3978571428571223,90.08066660757032,96.54706316048176,0.8090078676824511,,1445.8539999999998,1378.149,1295.346,,,,0.9912843231006421,1.119620701636507,0.8715676899358022,0.6,0.9854738718344035,1.204189111038263,1.452612816559653,1,1,1,0.0,0.0,0.995642161550321,1.0583962502863378,0.4357838449679067,0.3,0.9912843231006421,1.1034333365769966,0.871567689935796,0.6,1,1,0.0,0.0,0.995642161550321,1.0506989125493895,0.43578384496789013,0.3
2017-05-06,1514.9,1578.97,1505.0,1558.02,12174477.83,2017-05-06 00:00:00,1508.1486552987285,1514.9,0,1,1.1034333365769966,0.871567689935796,0.6,43.11999999999989,0,24.85571428571427,1.654285714285704,93.75976720375064,90.08066660757032,0.8041230834789119,,1478.792,1402.739,1312.4185,,,,1,1.119620701636507,0.8715676899358022,0.6,1,1.204189111038263,1.452612816559653,1,1,1,0.0,0.0,1,1.0583962502863378,0.4357838449679067,0.3,1,1.1034333365769966,0.871567689935796,0.6,1,1,0.0,0.0,1,1.0506989125493895,0.43578384496789013,0.3
2017-05-07,1558.02,1565.0,1525.0,1554.01,11809645.33,2017-05-07 00:00:00,1564.987878563708,1558.02,1,0.9984557322755806,1.1017293400892723,1.0246485285245288,0.6,0,4.009999999999991,24.22785714285713,1.9407142857142747,92.58379735779019,93.75976720375064,0.41706221500780816,,1512.224,1429.742,1332.2040000000002,,,,0.9984557322755806,1.1178917075233779,1.024648528524531,0.6,0.997426220459301,1.2010897937411402,1.7062520654817317,1,1,1,0.0,0.0,0.9992278661377902,1.0575790267018559,0.5126607477255759,0.3,0.9984557322755806,1.1017293400892723,1.0246485285245288,0.6,1,1,0.0,0.0,0.9992278661377902,1.0498876323400232,0.5126607477255545,0.3
2017-05-08,1554.01,1653.97,1554.01,1649.54,30605645.62,2017-05-08 00:00:00,1558.7039609301291,1554.01,1,1.0368839325358266,1.1423654507418657,0.0,0.6,95.52999999999997,0,30.22357142857142,1.9407142857142747,93.96624472573842,92.58379735779019,0.8997503922265906,,1533.476,1451.9900000000002,1351.0774999999999,,,,1.0368839325358266,1.1591239498460302,0.0,0.6,1.0614732208930444,1.2749246519441706,0.0,1,1,1,0.0,0.0,1.0184419662679134,1.0770828634379441,0.0,0.3,1.0368839325358266,1.1423654507418657,0.0,0.6,1,1,0.0,0.0,1.0184419662679134,1.0692496246407375,0.0,0.3
2017-05-09,1649.54,1760.4,1616.05,1720.28,28716399.21,2017-05-09 00:00:00,1656.4296359149066,1649.54,1,1.0257308098015203,1.1717594388787327,0.0,0.6,70.74000000000001,0,34.17499999999999,1.9407142857142747,94.62639927218073,93.96624472573842,0.04431930839055076,,1562.74,1483.874,1373.4254999999998,,,,1.0257308098015203,1.1889491477359053,0.0,0.6,1.042884683002534,1.3295993914949125,0.0,1,1,1,0.0,0.0,1.0128654049007602,1.0909399705877434,0.0,0.3,1.0257308098015203,1.1717594388787327,0.0,0.6,1,1,0.0,0.0,1.0128654049007602,1.0830059540017263,0.0,0.3
2017-05-10,1720.28,1794.21,1682.0,1772.58,19694962.35,2017-05-10 00:00:00,1750.8158566238549,1720.28,1,1.0182412165461436,1.1931337565433073,0.0,0.6,52.299999999999955,0,36.5542857142857,1.9407142857142747,94.95852893696772,94.62639927218073,0.5099417129882988,0.6043376695841054,1599.35,1522.602,1399.2404999999999,,,,1.0182412165461436,1.210637026602109,0.0,0.6,1.0304020275769061,1.3700219088613783,0.0,1,1.0060804055153811,1.0060804055153811,0.0,0.2,1.0121608110307625,1.1042066854159664,0.0,0.4,1.0182412165461436,1.1931337565433073,0.0,0.6,1.0060804055153811,1.0060804055153811,0.0,0.2,1.0121608110307625,1.0961761847535318,0.0,0.4
2017-05-11,1772.58,1892.0,1745.01,1828.45,26996647.4,2017-05-11 00:00:00,1773.6365979672687,1772.58,1,1.0189114172562028,1.2156976068557586,0.0,0.6,55.87000000000012,0,37.434999999999995,1.9407142857142747,95.07129122374201,94.95852893696772,0.5339103789882012,0.5929157222075663,1650.886,1564.8390000000002,1426.16,,,,1.0189114172562028,1.2335318885579902,0.0,0.6,1.0315190287603382,1.4132036688090734,0.0,1,1.0126076115041354,1.018764676410042,0.0,0.4,1.0157595143801692,1.1216084465534584,0.0,0.5,1.0189114172562028,1.2156976068557586,0.0,0.6,1.0126076115041354,1.018764676410042,0.0,0.4,1.0157595143801692,1.1134513891003541,0.0,0.5
2017-05-12,1828.45,1832.0,1650.0,1691.51,29854369.28,2017-05-12 00:00:00,1852.507863655154,1828.45,1,0.9550635784407558,1.161068506705524,4.493642155924412,0.6,0,136.94000000000005,37.434999999999995,11.66285714285714,76.24569009412689,95.07129122374201,0.6199066053042395,0.5907257803022111,1704.9720000000002,1608.598,1455.402,,,,0.9550635784407558,1.1781013796069777,4.493642155924424,0.6,0.9251059640679263,1.3073631424579484,7.489403593207365,1,0.9700423856271705,0.9882449170974895,2.9957614372829497,0.4,0.9625529820339631,1.0796075549045123,3.744701796603686,0.5,0.9550635784407558,1.161068506705524,4.493642155924412,0.6,0.9700423856271705,0.9882449170974895,2.9957614372829497,0.4,0.9625529820339631,1.0717559549284044,3.744701796603695,0.5
2017-05-13,1691.51,1785.82,1601.46,1776.89,17796170.28,2017-05-13 00:00:00,1668.1893250118037,1691.51,0,1,1.161068506705524,4.493642155924412,0.4,85.38000000000011,0,43.369285714285716,11.66285714285714,78.80719060289442,76.24569009412689,0.24758317496023252,0.5793646916032149,1732.4720000000002,1632.974,1478.3174999999999,,,,1,1.1781013796069777,4.493642155924424,0.4,1,1.3073631424579484,7.489403593207365,1,1,0.9882449170974895,2.9957614372829497,0.4,1,1.0796075549045123,3.744701796603686,0.4,1,1.161068506705524,4.493642155924412,0.4,1,0.9882449170974895,2.9957614372829497,0.4,1,1.0717559549284044,3.744701796603695,0.4
2017-05-14,1776.89,1815.0,1753.0,1784.0,8585557.39,2017-05-14 00:00:00,1740.006882704401,1776.89,0,1,1.161068506705524,4.493642155924412,0.6,7.1099999999999,0,42.64785714285714,11.66285714285714,78.52567896363517,78.80719060289442,0.5368848052941942,0.5806090306508118,1757.9419999999998,1660.341,1505.0625,,,,1,1.1781013796069777,4.493642155924424,0.6,1,1.3073631424579484,7.489403593207365,1,1,0.9882449170974895,2.9957614372829497,0.4,1,1.0796075549045123,3.744701796603686,0.5,1,1.161068506705524,4.493642155924412,0.6,1,0.9882449170974895,2.9957614372829497,0.4,1,1.0717559549284044,3.744701796603695,0.5
2017-05-15,1784.0,1784.0,1682.56,1705.48,22943567.22,2017-05-15 00:00:00,1804.1222609667682,1784.0,1,0.9735919282511211,1.1304069262750809,7.015780906344858,0.6,0,78.51999999999998,39.744285714285716,17.27142857142857,69.70759940868433,78.52567896363517,0.8853229163530772,0.5784661958287444,1770.6860000000001,1685.018,1531.5835,,,,0.9735919282511211,1.1469899938468633,7.015780906344885,0.6,0.9559865470852018,1.2498215763448328,11.561114372277634,1,0.9823946188340807,0.970846488646706,4.703558031889344,0.4,0.9779932735426009,1.0558489267623872,5.862965814241214,0.5,0.9735919282511211,1.1304069262750809,7.015780906344858,0.6,0.9823946188340807,0.970846488646706,4.703558031889344,0.4,0.9779932735426009,1.0481701147992064,5.862965814241217,0.5
2017-05-16,1705.48,1750.0,1641.22,1700.01,28117414.51,2017-05-16 00:00:00,1734.355903970687,1705.48,1,0.9987170767174051,1.128956700910556,7.135072525934008,0.4,0,5.470000000000027,35.68071428571428,17.662142857142857,66.88939475093733,69.70759940868433,0.2259477335461797,0.5564341342366083,1757.266,1704.0759999999998,1553.4074999999998,,,,0.9987170767174051,1.1455184936788536,7.135072525934053,0.4,0.9967926917935127,1.2458130133463772,11.84476513592402,1,0.9987170767174051,0.9696009670825956,4.825816056038689,0.4,0.9987170767174051,1.054494353591341,5.983736407152551,0.4,0.9987170767174051,1.128956700910556,7.135072525934008,0.4,0.9987170767174051,0.9696009670825956,4.825816056038689,0.4,0.9987170767174051,1.0468253929548104,5.9837364071525565,0.4
2017-05-17,1700.01,1840.42,1670.01,1782.99,31587033.39,2017-05-17 00:00:00,1677.7665482151344,1700.01,0,1,1.128956700910556,7.135072525934008,0.2,82.98000000000002,0,37.645714285714284,17.662142857142857,68.06576177499967,66.88939475093733,0.9497151020395028,0.5674314125669705,1731.578,1718.275,1574.0085000000001,,,,1,1.1455184936788536,7.135072525934053,0.2,1,1.2458130133463772,11.84476513592402,1,1,0.9696009670825956,4.825816056038689,0.4,1,1.054494353591341,5.983736407152551,0.3,1,1.128956700910556,7.135072525934008,0.2,1,0.9696009670825956,4.825816056038689,0.4,1,1.0468253929548104,5.9837364071525565,0.3
2017-05-18,1782.99,1881.8,1766.33,1878.99,21764514.72,2017-05-18 00:00:00,1760.580672207257,1782.99,0,1,1.128956700910556,7.135072525934008,0.6,96.0,0,42.07357142857143,17.662142857142857,70.4328590218821,68.06576177499967,0.5130572713920174,0.5662581323324077,1749.8740000000003,1741.173,1596.5814999999998,,,,1,1.1455184936788536,7.135072525934053,0.6,1,1.2458130133463772,11.84476513592402,1,1,0.9696009670825956,4.825816056038689,0.4,1,1.054494353591341,5.983736407152551,0.5,1,1.128956700910556,7.135072525934008,0.6,1,0.9696009670825956,4.825816056038689,0.4,1,1.0468253929548104,5.9837364071525565,0.5
2017-05-19,1878.99,1969.99,1874.99,1958.0,27201808.7,2017-05-19 00:00:00,1904.93653035938,1878.99,1,1.0252295115993166,1.1574397270913053,4.792135761057358,0.6,79.00999999999999,0,47.71714285714285,16.067142857142862,74.81018611839009,70.4328590218821,0.16861657962875354,0.5640371847073514,1770.2939999999999,1764.118,1623.996,,,,1.0252295115993166,1.174419365802356,4.7921357610574,0.6,1.042049185998861,1.2981984364643804,8.13790926835122,1,1.0168196743995443,0.9859093396464081,3.2250172708589195,0.4,1.0210245929994306,1.0766646681957965,4.007082729785747,0.5,1.0252295115993166,1.1574397270913053,4.792135761057358,0.6,1.0168196743995443,0.9859093396464081,3.2250172708589195,0.4,1.0210245929994306,1.0688344707831543,4.0070827297857505,0.5
2017-05-20,1958.0,2021.0,1914.0,2013.99,24244964.0,2017-05-20 00:00:00,1998.7122611606121,1958.0,1,1.0171573033707866,1.1772982716224112,3.158625551025159,0.6,55.99000000000001,0,48.636428571428574,16.067142857142862,75.16807418446763,74.81018611839009,0.16831751411176965,0.5386489216307775,1805.0939999999998,1787.8899999999999,1655.2459999999999,,,,1.0171573033707866,1.1945692351459538,3.1586255510252035,0.6,1.0285955056179776,1.3353210771475474,5.511066336755179,1,1.011438202247191,0.9971863700706783,2.118085445934582,0.4,1.014297752808989,1.0920585534798322,2.634599727242496,0.5,1.0171573033707866,1.1772982716224112,3.158625551025159,0.6,1.011438202247191,0.9971863700706783,2.118085445934582,0.4,1.014297752808989,1.0841164018401384,2.6345997272425015,0.5
2017-05-21,2013.99,2063.11,1961.52,2017.55,13647083.74,2017-05-21 00:00:00,2020.3718851918552,2013.99,1,1.0010605812342663,1.1785468920764282,3.055917406584013,0.6,3.5599999999999454,0,48.89071428571429,15.780714285714291,75.59863043958471,75.16807418446763,0.47672996030724324,0.5450577720335372,1866.7959999999998,1812.0309999999997,1688.435,,,,1.0010605812342663,1.1958361728597815,3.0559174065840615,0.6,1.001767635390444,1.337681437941119,5.344044353606727,1,1.0007070541561776,0.9978914348381204,2.048877631434519,0.4,1.000883817695222,1.0930237341536162,2.548546463579058,0.5,1.0010605812342663,1.1785468920764282,3.055917406584013,0.6,1.0007070541561776,0.9978914348381204,2.048877631434519,0.4,1.000883817695222,1.085074563099765,2.54854646357908,0.5
2017-05-22,2017.55,2230.34,2008.75,2099.97,32452142.3,2017-05-22 00:00:00,1984.0857664095595,2017.55,0,1,1.1785468920764282,3.055917406584013,0.6,82.41999999999985,0,47.95428571428571,15.780714285714291,75.24011251947236,75.59863043958471,0.9649572519903972,0.5590806866064107,1930.304,1830.941,1719.7694999999999,,,,1,1.1958361728597815,3.0559174065840615,0.6,1,1.337681437941119,5.344044353606727,1,1,0.9978914348381204,2.048877631434519,0.4,1,1.0930237341536162,2.548546463579058,0.5,1,1.1785468920764282,3.055917406584013,0.6,1,0.9978914348381204,2.048877631434519,0.4,1,1.085074563099765,2.54854646357908,0.5
2017-05-23,2099.97,2275.0,2088.45,2264.23,31139771.52,2017-05-23 00:00:00,2100.6693815314584,2099.97,1,1.0469320990299862,1.2338585715268415,0.0,0.6,164.26000000000022,0,54.634285714285724,15.780714285714291,77.58898773597346,75.24011251947236,0.6280521817636624,0.55388905323063,1993.7,1871.7869999999998,1752.3805,,,,1.0469320990299862,1.2519592745480765,0.0,0.6,1.078220165049977,1.4423151008011639,0.0,1,1.0312880660199908,1.0291135279321189,0.0,0.4,1.0391100825249886,1.1357719825981354,0.0,0.5,1.0469320990299862,1.2338585715268415,0.0,0.6,1.0312880660199908,1.0291135279321189,0.0,0.4,1.0391100825249886,1.1275119188083627,0.0,0.5
